locus	primary_accession	accession_version	isolate
QHU79206	QHU79206	QHU79206.1	2019-nCoV/USA-WA1-F6/2020
QHU79205	QHU79205	QHU79205.1	2019-nCoV/USA-WA1-F6/2020
QHU79204	QHU79204	QHU79204.1	2019-nCoV/USA-WA1-F6/2020
QHU79203	QHU79203	QHU79203.1	2019-nCoV/USA-WA1-F6/2020
QHU79202	QHU79202	QHU79202.1	2019-nCoV/USA-WA1-A12/2020
QHU79201	QHU79201	QHU79201.1	2019-nCoV/USA-WA1-A12/2020
QHU79200	QHU79200	QHU79200.1	2019-nCoV/USA-WA1-A12/2020
QHU79199	QHU79199	QHU79199.1	2019-nCoV/USA-WA1-A12/2020
QHU79198	QHU79198	QHU79198.1	2019-nCoV/USA-WA1-A12/2020
QHU79197	QHU79197	QHU79197.1	2019-nCoV/USA-WA1-A12/2020
QHU79196	QHU79196	QHU79196.1	2019-nCoV/USA-WA1-A12/2020
QHU79195	QHU79195	QHU79195.1	2019-nCoV/USA-WA1-A12/2020
QHU79194	QHU79194	QHU79194.1	2019-nCoV/USA-WA1-A12/2020
QHU79193	QHU79193	QHU79193.1	2019-nCoV/USA-WA1-A12/2020
QHU79182	QHU79182	QHU79182.1	nCoV-FIN-29-Jan-2020
QHU79181	QHU79181	QHU79181.1	nCoV-FIN-29-Jan-2020
QHU79180	QHU79180	QHU79180.1	nCoV-FIN-29-Jan-2020
QHU79179	QHU79179	QHU79179.1	nCoV-FIN-29-Jan-2020
QHU79178	QHU79178	QHU79178.1	nCoV-FIN-29-Jan-2020
QHU79177	QHU79177	QHU79177.1	nCoV-FIN-29-Jan-2020
QHU79176	QHU79176	QHU79176.1	nCoV-FIN-29-Jan-2020
QHU79175	QHU79175	QHU79175.1	nCoV-FIN-29-Jan-2020
QHU79174	QHU79174	QHU79174.1	nCoV-FIN-29-Jan-2020
QHU79173	QHU79173	QHU79173.1	nCoV-FIN-29-Jan-2020
QHU79172	QHU79172	QHU79172.1	nCoV-FIN-29-Jan-2020
QHU79171	QHU79171	QHU79171.1	nCoV-FIN-29-Jan-2020
QHU36872	QHU36872	QHU36872.1	BetaCoV/Wuhan/IPBCAMS-WH-05/2020
QHU36871	QHU36871	QHU36871.1	BetaCoV/Wuhan/IPBCAMS-WH-05/2020
QHU36870	QHU36870	QHU36870.1	BetaCoV/Wuhan/IPBCAMS-WH-05/2020
QHU36869	QHU36869	QHU36869.1	BetaCoV/Wuhan/IPBCAMS-WH-05/2020
QHU36868	QHU36868	QHU36868.1	BetaCoV/Wuhan/IPBCAMS-WH-05/2020
QHU36867	QHU36867	QHU36867.1	BetaCoV/Wuhan/IPBCAMS-WH-05/2020
QHU36866	QHU36866	QHU36866.1	BetaCoV/Wuhan/IPBCAMS-WH-05/2020
QHU36865	QHU36865	QHU36865.1	BetaCoV/Wuhan/IPBCAMS-WH-05/2020
QHU36864	QHU36864	QHU36864.1	BetaCoV/Wuhan/IPBCAMS-WH-05/2020
QHU36863	QHU36863	QHU36863.1	BetaCoV/Wuhan/IPBCAMS-WH-05/2020
QHU36862	QHU36862	QHU36862.1	BetaCoV/Wuhan/IPBCAMS-WH-04/2019
QHU36861	QHU36861	QHU36861.1	BetaCoV/Wuhan/IPBCAMS-WH-04/2019
QHU36860	QHU36860	QHU36860.1	BetaCoV/Wuhan/IPBCAMS-WH-04/2019
QHU36859	QHU36859	QHU36859.1	BetaCoV/Wuhan/IPBCAMS-WH-04/2019
QHU36858	QHU36858	QHU36858.1	BetaCoV/Wuhan/IPBCAMS-WH-04/2019
QHU36857	QHU36857	QHU36857.1	BetaCoV/Wuhan/IPBCAMS-WH-04/2019
QHU36856	QHU36856	QHU36856.1	BetaCoV/Wuhan/IPBCAMS-WH-04/2019
QHU36855	QHU36855	QHU36855.1	BetaCoV/Wuhan/IPBCAMS-WH-04/2019
QHU36854	QHU36854	QHU36854.1	BetaCoV/Wuhan/IPBCAMS-WH-04/2019
QHU36853	QHU36853	QHU36853.1	BetaCoV/Wuhan/IPBCAMS-WH-04/2019
QHU36852	QHU36852	QHU36852.1	BetaCoV/Wuhan/IPBCAMS-WH-03/2019
QHU36851	QHU36851	QHU36851.1	BetaCoV/Wuhan/IPBCAMS-WH-03/2019
QHU36850	QHU36850	QHU36850.1	BetaCoV/Wuhan/IPBCAMS-WH-03/2019
QHU36849	QHU36849	QHU36849.1	BetaCoV/Wuhan/IPBCAMS-WH-03/2019
QHU36848	QHU36848	QHU36848.1	BetaCoV/Wuhan/IPBCAMS-WH-03/2019
QHU36847	QHU36847	QHU36847.1	BetaCoV/Wuhan/IPBCAMS-WH-03/2019
QHU36846	QHU36846	QHU36846.1	BetaCoV/Wuhan/IPBCAMS-WH-03/2019
QHU36845	QHU36845	QHU36845.1	BetaCoV/Wuhan/IPBCAMS-WH-03/2019
QHU36844	QHU36844	QHU36844.1	BetaCoV/Wuhan/IPBCAMS-WH-03/2019
QHU36843	QHU36843	QHU36843.1	BetaCoV/Wuhan/IPBCAMS-WH-03/2019
QHU36842	QHU36842	QHU36842.1	BetaCoV/Wuhan/IPBCAMS-WH-02/2019
QHU36841	QHU36841	QHU36841.1	BetaCoV/Wuhan/IPBCAMS-WH-02/2019
QHU36840	QHU36840	QHU36840.1	BetaCoV/Wuhan/IPBCAMS-WH-02/2019
QHU36839	QHU36839	QHU36839.1	BetaCoV/Wuhan/IPBCAMS-WH-02/2019
QHU36838	QHU36838	QHU36838.1	BetaCoV/Wuhan/IPBCAMS-WH-02/2019
